id,file_name,color,shape,box
1,Green10thcopy.jpg,Green,Cube,2
2,Green10thcopy3rdcopy.jpg,Green,Cube,2
3,Green10thcopy3rdcopy3rdcopy.jpg,Green,Cube,2
4,Green10thcopy3rdcopy4thcopy.jpg,Green,Cube,2
5,Green10thcopy3rdcopy5thcopy.jpg,Green,Cube,2
6,Green10thcopy3rdcopy6thcopy.jpg,Green,Cube,2
7,Green10thcopy3rdcopyanothercopy.jpg,Green,Cube,2
8,Green10thcopy3rdcopycopy.jpg,Green,Cube,2
9,Green10thcopy4thcopy.jpg,Green,Cube,2
10,Green10thcopy4thcopy3rdcopy.jpg,Green,Cube,2
11,Green10thcopy4thcopy4thcopy.jpg,Green,Cube,2
12,Green10thcopy4thcopy5thcopy.jpg,Green,Cube,2
13,Green10thcopy4thcopy6thcopy.jpg,Green,Cube,2
14,Green10thcopy4thcopyanothercopy.jpg,Green,Cube,2
15,Green10thcopy4thcopycopy.jpg,Green,Cube,2
16,Blue10thcopy.jpg,Blue,Cube,3
17,Blue10thcopy3rdcopy.jpg,Blue,Cube,3
18,Blue10thcopy3rdcopy3rdcopy.jpg,Blue,Cube,3
19,Blue10thcopy3rdcopy4thcopy.jpg,Blue,Cube,3
20,Blue10thcopy3rdcopy5thcopy.jpg,Blue,Cube,3
21,Blue10thcopy3rdcopy6thcopy.jpg,Blue,Cube,3
22,Blue10thcopy3rdcopyanothercopy.jpg,Blue,Cube,3
23,Blue10thcopy3rdcopycopy.jpg,Blue,Cube,3
24,Blue10thcopy4thcopy.jpg,Blue,Cube,3
25,Blue10thcopy4thcopy3rdcopy.jpg,Blue,Cube,3
26,Blue10thcopy4thcopy4thcopy.jpg,Blue,Cube,3
27,Blue10thcopy4thcopy5thcopy.jpg,Blue,Cube,3
28,Blue10thcopy4thcopy6thcopy.jpg,Blue,Cube,3
29,Blue10thcopy4thcopyanothercopy.jpg,Blue,Cube,3
30,Blue10thcopy4thcopycopy.jpg,Blue,Cube,3
31,Blue9thcopy3rdcopy.jpg,Blue,Cube,3
32,Blue9thcopy3rdcopy3rdcopy.jpg,Blue,Cube,3
33,Blue9thcopy3rdcopy4thcopy.jpg,Blue,Cube,3
34,Blue9thcopy3rdcopy5thcopy.jpg,Blue,Cube,3
35,Blue9thcopy3rdcopy6thcopy.jpg,Blue,Cube,3
36,Blue9thcopy3rdcopyanothercopy.jpg,Blue,Cube,3
37,Blue9thcopy3rdcopycopy.jpg,Blue,Cube,3
38,Blue9thcopy4thcopy.jpg,Blue,Cube,3
39,Blue9thcopy4thcopy3rdcopy.jpg,Blue,Cube,3
40,Blue9thcopy4thcopy4thcopy.jpg,Blue,Cube,3
41,Blue9thcopy4thcopy5thcopy.jpg,Blue,Cube,3
42,Blue9thcopy4thcopy6thcopy.jpg,Blue,Cube,3
43,Blue9thcopy4thcopyanothercopy.jpg,Blue,Cube,3
44,Blue9thcopy4thcopycopy.jpg,Blue,Cube,3
45,Blue9thcopy5thcopy.jpg,Blue,Cube,3
